job_id,job_title,company_name,location,job_description,experience_required,salary,detected_keywords,is_suspicious,suspicion_score,data_source,scraped_at,posted_date
3f5b40242a563a8dd8fe8b5664f37018,Copy Trainee,Digital Solution Tech,India,No description available,Not specified,Not disclosed,[],False,0,naukri_scraped,2025-11-02T17:16:41.939334,2025-11-02
b00ad1120ac35a02e89801e690b9dfd1,Trainee,Vyonics Healthcare,India,No description available,Not specified,Not disclosed,[],False,0,naukri_scraped,2025-11-02T17:16:42.096523,2025-11-02
94b843e4c251d6857798b76411085c44,Brand Solutions Trainee,Brand Fanatics,India,No description available,Not specified,Not disclosed,[],False,0,naukri_scraped,2025-11-02T17:16:42.247562,2025-11-02
92b5fc604a07b7f5029693dae4b19517,Trainee - BTL Team,Sids Farm,India,No description available,Not specified,Not disclosed,[],False,0,naukri_scraped,2025-11-02T17:16:42.383317,2025-11-02
05918f287ba69cd82fa6459237839158,Developer Internship,Get Now Solutions,Remote,No description available,Not specified,Not disclosed,[],False,0,indeed_scraped,2025-11-06T14:16:00.164336,2025-11-06
08f7d480e52805567b9771da2c1145af,"Graduate Trainee, Renewal",Calix,"Bengaluru, Karnataka",No description available,Not specified,Not disclosed,[],False,0,indeed_scraped,2025-11-06T14:16:00.323830,2025-11-06
60e76d623249823f4bfe8622a110c3ea,Business Development Intern /Trainee,Innowrap Technologies,Remote,No description available,Not specified,Not disclosed,[],False,0,indeed_scraped,2025-11-06T14:16:00.457370,2025-11-06
fb06e31e7bc32d318df4ee345ba9ef8f,Sales Intern,Boost Tech,Remote,No description available,Not specified,Not disclosed,[],False,0,indeed_scraped,2025-11-06T14:16:00.546236,2025-11-06
16d71b8a9806a06c2127662dcffbdec9,Quality Trainee,HYT Engineering Co. Pvt. Ltd,"Pune, Maharashtra",No description available,Not specified,Not disclosed,[],False,0,indeed_scraped,2025-11-06T14:16:00.651507,2025-11-06
838fd542d9d0f3c2ea512a4752f17758,Quality Trainee,SURSANTOSH ENTERPRISES,"Panchkula, Haryana",No description available,Not specified,Not disclosed,[],False,0,indeed_scraped,2025-11-06T14:16:00.799695,2025-11-06
069e39e75914ce693d7c0150b4341de4,Internship HR Intern,Hunt&Scouts Management Services,"Faridabad, Haryana",No description available,Not specified,Not disclosed,[],False,0,indeed_scraped,2025-11-06T14:16:00.944099,2025-11-06
c08bfc38971553a56bb4657039d9db66,Business Development Trainee,UPROI Digital Pvt. Ltd.,"Noida Sector 16, Noida, Uttar Pradesh",No description available,Not specified,Not disclosed,[],False,0,indeed_scraped,2025-11-06T14:16:01.023868,2025-11-06
238f3b212c40ae653a128c6e7e53b820,Accounts Trainee,Gaurav Ganesh and Associates,"Bhopal, Madhya Pradesh",No description available,Not specified,Not disclosed,[],False,0,indeed_scraped,2025-11-06T14:16:01.129933,2025-11-06
1f3a8f51f4fd1a1a14937aae084d2a00,Graduate Trainee Engineer,Vert Elevators,"Ahmedabad, Gujarat",No description available,Not specified,Not disclosed,[],False,0,indeed_scraped,2025-11-06T14:16:01.236440,2025-11-06
ec3a68c345d0e92194709b418e0771db,Field Operations Specialist Intern,Housewise Property Management Services,"Chennai, Tamil Nadu",No description available,Not specified,Not disclosed,[],False,0,indeed_scraped,2025-11-06T14:16:01.357207,2025-11-06
7c4c03e596acf6c2c98feca9906efba5,Software Support Executive Trainee,ATM Softek,"Kolkata, West Bengal",No description available,Not specified,Not disclosed,[],False,0,indeed_scraped,2025-11-06T14:16:01.506774,2025-11-06
